company_name,perm_id,data_type,disclosure,metric_description,metric_name,metric_value,nb_points_of_observations,pillar,Industry,year,metric_value_scaled,metric_value_log,standard_metric
Achillion Pharmaceuticals Inc,4295902590,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,52,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
Loxo Oncology Inc,5040059115,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,43,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
RaySearch Laboratories AB (publ),4295889885,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,239,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
Immunitybio Inc,5046045471,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,239,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
Rapid Nutrition PLC,5042944492,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,236,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
HLS Therapeutics Inc,5062411003,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,229,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
Vaxcyte Inc,5040942643,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,215,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
Silence Therapeutics PLC,4295895614,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,204,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
Kuros Biosciences AG,4295890889,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,203,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
Legend Biotech Corp,5056412290,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,199,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
Immunovant Inc,5068663165,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,198,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
Alterity Therapeutics Ltd,4295857196,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,192,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
Aptose Biosciences Inc,4295861982,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,189,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
Astria Therapeutics Inc,4298140380,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,188,E_opportunity,Biotechnology & Pharmaceuticals,2019,0.0,0.0,Drug_Safety
Astria Therapeutics Inc,4298140380,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,188,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
Avenue Therapeutics Inc,5045106861,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,182,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
ProQR Therapeutics NV,5038906661,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,182,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
Quince Therapeutics Inc,5042946656,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,182,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
Galectin Therapeutics Inc,4295908397,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,181,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
Brainstorm Cell Therapeutics Inc,4295899439,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,179,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
Chinook Therapeutics Inc,4298084379,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,177,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
89Bio Inc,5071508069,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,171,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
Enliven Therapeutics Inc,5050721453,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,169,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
Animalcare Group PLC,4295894891,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,168,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
NeuBase Therapeutics Inc,4295905287,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,168,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
Minerva Neurosciences Inc,5035525714,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,166,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
Mustang Bio Inc,5045675573,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,163,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
Alexion Pharmaceuticals Inc (Pre-Merger),4295905466,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,160,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
DaShenLin Pharmaceutical Group Co Ltd,5000560542,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,160,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
TCR2 Therapeutics Inc,5048737252,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,158,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
Dong Suh Companies Inc,4295882549,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,156,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
CASI Pharmaceuticals Inc(Pre-Merger),4295906369,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,155,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
GP Strategies Corp,4295904038,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,155,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
IMV Inc,4297852426,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,155,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
Advanz Pharma Corp Ltd,5073343758,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,147,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
Arena Pharmaceuticals Inc,4295900428,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,146,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
CohBar Inc,5037441109,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,146,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
Nymox Pharmaceutical Corp,5052544527,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,145,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
SillaJen Inc,5040702572,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,144,E_opportunity,Biotechnology & Pharmaceuticals,2021,0.0,0.0,Drug_Safety
Magenta Therapeutics Inc,5052528282,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,143,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
PhaseBio Pharmaceuticals Inc,5035400506,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,143,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
ContraFect Corp,5001150224,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,143,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
