company_name,perm_id,data_type,disclosure,metric_description,metric_name,metric_unit,metric_value,nb_points_of_observations,pillar,Industry,year,metric_value_scaled,metric_value_log
PharmaSGP Holding SE,5074558504,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,1.0,158,S_risk,Biotechnology & Pharmaceuticals,2022,0.4,0.6931471805599453
Immunocore Holdings PLC,5079691460,int,CALCULATED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,157,S_risk,Biotechnology & Pharmaceuticals,2021,0.0,0.0
Immunocore Holdings PLC,5079691460,int,CALCULATED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,157,S_risk,Biotechnology & Pharmaceuticals,2019,0.0,0.0
Immunocore Holdings PLC,5079691460,int,CALCULATED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,157,S_risk,Biotechnology & Pharmaceuticals,2020,0.0,0.0
Immunocore Holdings PLC,5079691460,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,157,S_risk,Biotechnology & Pharmaceuticals,2022,0.0,0.0
Aziyo Biologics Inc,5047231061,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,1.0,156,S_risk,Biotechnology & Pharmaceuticals,2023,0.4,0.6931471805599453
2Seventy Bio Inc,5081079448,int,CALCULATED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,155,S_risk,Biotechnology & Pharmaceuticals,2021,0.0,0.0
2Seventy Bio Inc,5081079448,int,CALCULATED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,155,S_risk,Biotechnology & Pharmaceuticals,2019,0.0,0.0
2Seventy Bio Inc,5081079448,int,CALCULATED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,155,S_risk,Biotechnology & Pharmaceuticals,2020,0.0,0.0
2Seventy Bio Inc,5081079448,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,155,S_risk,Biotechnology & Pharmaceuticals,2022,0.0,0.0
Amylyx Pharmaceuticals Inc,5044011252,int,CALCULATED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,151,S_risk,Biotechnology & Pharmaceuticals,2019,0.0,0.0
Amylyx Pharmaceuticals Inc,5044011252,int,CALCULATED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,151,S_risk,Biotechnology & Pharmaceuticals,2020,0.0,0.0
Amylyx Pharmaceuticals Inc,5044011252,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,151,S_risk,Biotechnology & Pharmaceuticals,2022,0.0,0.0
Amylyx Pharmaceuticals Inc,5044011252,int,CALCULATED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,151,S_risk,Biotechnology & Pharmaceuticals,2021,0.0,0.0
Afyren SAS,5047106998,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,1.0,144,S_risk,Biotechnology & Pharmaceuticals,2022,0.4,0.6931471805599453
Loxam SAS,4297463274,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,1.0,136,S_risk,Biotechnology & Pharmaceuticals,2023,0.4,0.6931471805599453
Nanoform Finland Oyj,5050720831,int,CALCULATED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,129,S_risk,Biotechnology & Pharmaceuticals,2020,0.0,0.0
Nanoform Finland Oyj,5050720831,int,CALCULATED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,129,S_risk,Biotechnology & Pharmaceuticals,2021,0.0,0.0
Nanoform Finland Oyj,5050720831,int,CALCULATED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,129,S_risk,Biotechnology & Pharmaceuticals,2019,0.0,0.0
Nanoform Finland Oyj,5050720831,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,129,S_risk,Biotechnology & Pharmaceuticals,2022,0.0,0.0
Abivax SA,5041076826,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,1.0,128,S_risk,Biotechnology & Pharmaceuticals,2022,0.4,0.6931471805599453
Genor Biopharma Holdings Ltd,5064614344,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,1.0,124,S_risk,Biotechnology & Pharmaceuticals,2023,0.4,0.6931471805599453
Genor Biopharma Holdings Ltd,5064614344,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,1.0,124,S_risk,Biotechnology & Pharmaceuticals,2022,0.4,0.6931471805599453
Ama Corporation PLC,5080040632,int,CALCULATED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,118,S_risk,Biotechnology & Pharmaceuticals,2020,0.0,0.0
Prime Medicine Inc,5079223028,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,1.0,118,S_risk,Biotechnology & Pharmaceuticals,2023,0.4,0.6931471805599453
Ama Corporation PLC,5080040632,int,CALCULATED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,118,S_risk,Biotechnology & Pharmaceuticals,2021,0.0,0.0
Ama Corporation PLC,5080040632,int,CALCULATED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,118,S_risk,Biotechnology & Pharmaceuticals,2019,0.0,0.0
Ama Corporation PLC,5080040632,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,118,S_risk,Biotechnology & Pharmaceuticals,2022,0.0,0.0
Vivoryon Therapeutics NV,5079212860,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,1.0,105,S_risk,Biotechnology & Pharmaceuticals,2023,0.4,0.6931471805599453
Sellas Life Sciences Group Inc,4298009979,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,1.0,104,S_risk,Biotechnology & Pharmaceuticals,2023,0.4,0.6931471805599453
Biora Therapeutics Inc,5044195095,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,1.0,103,S_risk,Biotechnology & Pharmaceuticals,2023,0.4,0.6931471805599453
Lidds AB,4297914635,int,CALCULATED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,102,S_risk,Biotechnology & Pharmaceuticals,2019,0.0,0.0
Medigen Vaccine Biologics Corp,5044030765,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,1.0,102,S_risk,Biotechnology & Pharmaceuticals,2022,0.4,0.6931471805599453
Lidds AB,4297914635,int,CALCULATED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,102,S_risk,Biotechnology & Pharmaceuticals,2020,0.0,0.0
Lidds AB,4297914635,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,102,S_risk,Biotechnology & Pharmaceuticals,2022,0.0,0.0
FYI Resources Ltd,4295857627,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,1.0,102,S_risk,Biotechnology & Pharmaceuticals,2022,0.4,0.6931471805599453
Lidds AB,4297914635,int,CALCULATED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,102,S_risk,Biotechnology & Pharmaceuticals,2021,0.0,0.0
Medicenna Therapeutics Corp,5045915928,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,1.0,94,S_risk,Biotechnology & Pharmaceuticals,2023,0.4,0.6931471805599453
Aegirbio AB,5073157453,int,CALCULATED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,91,S_risk,Biotechnology & Pharmaceuticals,2021,0.0,0.0
Aegirbio AB,5073157453,int,CALCULATED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,91,S_risk,Biotechnology & Pharmaceuticals,2020,0.0,0.0
Aegirbio AB,5073157453,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,91,S_risk,Biotechnology & Pharmaceuticals,2022,0.0,0.0
Aegirbio AB,5073157453,int,CALCULATED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,91,S_risk,Biotechnology & Pharmaceuticals,2019,0.0,0.0
Hillevax Inc,5081156817,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,1.0,90,S_risk,Biotechnology & Pharmaceuticals,2023,0.4,0.6931471805599453
Nautilus Biotechnology Inc,5080517255,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,1.0,89,S_risk,Biotechnology & Pharmaceuticals,2023,0.4,0.6931471805599453
