company_name|perm_id|data_type|disclosure|metric_description|metric_name|metric_value|nb_points_of_observations|pillar|Industry|year|metric_value_scaled|metric_value_log
StarPower Semiconductor Ltd|5066575432|int|CALCULATED|Does the company have an external auditor of its CSR/H&S/Sustainability report?|CSR_REPORTING_EXTERNAL_AUDIT|0.0|163|G_risk|Semiconductors|2019|0.0|0.0
StarPower Semiconductor Ltd|5066575432|int|CALCULATED|Does the company have an external auditor of its CSR/H&S/Sustainability report?|CSR_REPORTING_EXTERNAL_AUDIT|0.0|163|G_risk|Semiconductors|2020|0.0|0.0
Amlogic Shanghai Co Ltd|5068926914|int|CALCULATED|Does the company have an external auditor of its CSR/H&S/Sustainability report?|CSR_REPORTING_EXTERNAL_AUDIT|0.0|161|G_risk|Semiconductors|2019|0.0|0.0
Amlogic Shanghai Co Ltd|5068926914|int|CALCULATED|Does the company have an external auditor of its CSR/H&S/Sustainability report?|CSR_REPORTING_EXTERNAL_AUDIT|0.0|161|G_risk|Semiconductors|2020|0.0|0.0
PharmaSGP Holding SE|5074558504|int|REPORTED|Does the company have an external auditor of its CSR/H&S/Sustainability report?|CSR_REPORTING_EXTERNAL_AUDIT|1.0|158|G_risk|Biotechnology & Pharmaceuticals|2022|0.004|0.6931471805599453
PharmaSGP Holding SE|5074558504|int|REPORTED|Does the company have an external auditor of its CSR/H&S/Sustainability report?|CSR_REPORTING_EXTERNAL_AUDIT|1.0|158|G_risk|Biotechnology & Pharmaceuticals|2023|0.004|0.6931471805599453
Immunocore Holdings PLC|5079691460|int|REPORTED|Does the company have an external auditor of its CSR/H&S/Sustainability report?|CSR_REPORTING_EXTERNAL_AUDIT|0.0|157|G_risk|Biotechnology & Pharmaceuticals|2022|0.0|0.0
Immunocore Holdings PLC|5079691460|int|CALCULATED|Does the company have an external auditor of its CSR/H&S/Sustainability report?|CSR_REPORTING_EXTERNAL_AUDIT|0.0|157|G_risk|Biotechnology & Pharmaceuticals|2019|0.0|0.0
Immunocore Holdings PLC|5079691460|float|REPORTED|Percentage of non-executive board members on the audit committee as stipulated by the company.|AUDITCOMMNONEXECMEMBERS|100.0|157|G_risk|Biotechnology & Pharmaceuticals|2022|0.4|4.61512051684126
Immunocore Holdings PLC|5079691460|int|CALCULATED|Does the company have an external auditor of its CSR/H&S/Sustainability report?|CSR_REPORTING_EXTERNAL_AUDIT|0.0|157|G_risk|Biotechnology & Pharmaceuticals|2020|0.0|0.0
Immunocore Holdings PLC|5079691460|float|REPORTED|Percentage of non-executive board members on the compensation committee as stipulated by the company.|COMPCOMMNONEXECMEMBERS|100.0|157|G_risk|Biotechnology & Pharmaceuticals|2022|0.4|4.61512051684126
Aziyo Biologics Inc|5047231061|float|REPORTED|Percentage of non-executive board members on the audit committee as stipulated by the company.|AUDITCOMMNONEXECMEMBERS|100.0|156|G_risk|Biotechnology & Pharmaceuticals|2023|0.4|4.61512051684126
Aziyo Biologics Inc|5047231061|float|REPORTED|Percentage of non-executive board members on the audit committee as stipulated by the company.|AUDITCOMMNONEXECMEMBERS|100.0|156|G_risk|Biotechnology & Pharmaceuticals|2021|0.4|4.61512051684126
Aziyo Biologics Inc|5047231061|float|REPORTED|Percentage of non-executive board members on the audit committee as stipulated by the company.|AUDITCOMMNONEXECMEMBERS|100.0|156|G_risk|Biotechnology & Pharmaceuticals|2022|0.4|4.61512051684126
Aziyo Biologics Inc|5047231061|float|REPORTED|Percentage of non-executive board members on the compensation committee as stipulated by the company.|COMPCOMMNONEXECMEMBERS|100.0|156|G_risk|Biotechnology & Pharmaceuticals|2023|0.4|4.61512051684126
Aziyo Biologics Inc|5047231061|float|REPORTED|Percentage of non-executive board members on the compensation committee as stipulated by the company.|COMPCOMMNONEXECMEMBERS|100.0|156|G_risk|Biotechnology & Pharmaceuticals|2022|0.4|4.61512051684126
Aziyo Biologics Inc|5047231061|float|REPORTED|Percentage of non-executive board members on the audit committee as stipulated by the company.|AUDITCOMMNONEXECMEMBERS|100.0|156|G_risk|Biotechnology & Pharmaceuticals|2020|0.4|4.61512051684126
2Seventy Bio Inc|5081079448|float|REPORTED|Percentage of non-executive board members on the audit committee as stipulated by the company.|AUDITCOMMNONEXECMEMBERS|100.0|155|G_risk|Biotechnology & Pharmaceuticals|2023|0.4|4.61512051684126
2Seventy Bio Inc|5081079448|int|CALCULATED|Does the company have an external auditor of its CSR/H&S/Sustainability report?|CSR_REPORTING_EXTERNAL_AUDIT|0.0|155|G_risk|Biotechnology & Pharmaceuticals|2020|0.0|0.0
2Seventy Bio Inc|5081079448|float|REPORTED|Percentage of non-executive board members on the compensation committee as stipulated by the company.|COMPCOMMNONEXECMEMBERS|100.0|155|G_risk|Biotechnology & Pharmaceuticals|2023|0.4|4.61512051684126
2Seventy Bio Inc|5081079448|int|CALCULATED|Does the company have an external auditor of its CSR/H&S/Sustainability report?|CSR_REPORTING_EXTERNAL_AUDIT|0.0|155|G_risk|Biotechnology & Pharmaceuticals|2019|0.0|0.0
2Seventy Bio Inc|5081079448|int|REPORTED|Does the company have an external auditor of its CSR/H&S/Sustainability report?|CSR_REPORTING_EXTERNAL_AUDIT|0.0|155|G_risk|Biotechnology & Pharmaceuticals|2022|0.0|0.0
2Seventy Bio Inc|5081079448|int|CALCULATED|Does the company have an external auditor of its CSR/H&S/Sustainability report?|CSR_REPORTING_EXTERNAL_AUDIT|0.0|155|G_risk|Biotechnology & Pharmaceuticals|2021|0.0|0.0
Amylyx Pharmaceuticals Inc|5044011252|float|REPORTED|Already reported ratio of CEO compensation over median annual employee compensation. Must say median was used as denominator.|CEO_PAY_RATIO_MEDIAN|22.55|151|G_risk|Biotechnology & Pharmaceuticals|2023|0.0902|3.159125820462427
Amylyx Pharmaceuticals Inc|5044011252|float|REPORTED|Percentage of non-executive board members on the audit committee as stipulated by the company.|AUDITCOMMNONEXECMEMBERS|100.0|151|G_risk|Biotechnology & Pharmaceuticals|2023|0.4|4.61512051684126
Amylyx Pharmaceuticals Inc|5044011252|int|REPORTED|Does the company have an external auditor of its CSR/H&S/Sustainability report?|CSR_REPORTING_EXTERNAL_AUDIT|0.0|151|G_risk|Biotechnology & Pharmaceuticals|2022|0.0|0.0
