company_name,perm_id,ticker_code,industry,
Shandong Kehui Power Automation Co Ltd,5035738159,688681,Electrical & Electronic Equipment,
Tonix Pharmaceuticals Holding Corp,4297915579,TNXP,Biotechnology & Pharmaceuticals,
Kiran Print Pack Ltd,4296052980,KRP,Professional & Commercial Services,
hhgregg Inc,4295900010,HGGGQ,Multiline and Specialty Retailers & Distributors,
American Electric Power Company Inc,4295903333,AEP,Electric Utilities & Power Generators,
Triumph Group Inc,4295905135,TGI,Aerospace & Defence,
First Solar Inc,4295910005,FSLR,Solar Technology & Project Developers,
Keysight Technologies Inc,5041978269,KEYS,Electrical & Electronic Equipment,
Apogee Enterprises Inc,4295905571,APOG,Construction Materials,
La Kaffa International Co Ltd,5037970470,2732,Restaurants,
Fajar Surya Wisesa Tbk PT,4295874460,FASW,Containers & Packaging,
Ruitai Materials Technology Co Ltd,4295864380,002066,Construction Materials,
Kelani Valley Plantations PLC,4295940770,KVAL,Agricultural Products,
Far East Holdings International Ltd,4295870940,36,Apparel, Accessories & Footwear,
Panoro Minerals Ltd,4296418450,PML,Metals & Mining,
Sakai Moving Service Co Ltd,4295877360,9039,Road Transportation,
Pozavarovalnica Sava dd,5000072410,POSR,Insurance,
Fancy Wood Industries PCL,4295893200,FANCY,Building Products & Furnishings,
MECOM Power and Construction Ltd,5056439070,1183,Engineering & Construction Services,
Tvornica Cementa Kakanj dd Kakanj,4297175240,TCMKR,Construction Materials,
Suzhou Jin Hong Shun Auto Parts Co Ltd,5050707150,603922,Auto Parts,
Changsha DIALINE New Material Sci & Tech Co Ltd,5047643520,300700,Industrial Machinery & Goods,
Senba Sensing Technology Co Ltd,5047445460,300701,Hardware,
Unionman Technology Co Ltd,5042947690,688609,Hardware,
Silly Monks Entertainment Ltd,5057778320,SILLYMON,Media & Entertainment,
Jiangsu Topfly New Materials Co Ltd,5082159130,001373,Hardware,
Shenzhen Urban Transport Planning Center Co Ltd,5055471720,301091,Professional & Commercial Services,
Tuxis Corp,4296421060,TUXS,Real Estate,
Ulisse Biomed Spa,5056621070,UBM,Biotechnology & Pharmaceuticals,
Civil Engineering PCL,5074675900,CIVIL,Engineering & Construction Services,
Till Capital Ltd,5040929620,TIL,Construction Materials,
Artemis Global Life Sciences Ltd,5056438390,AGLSL,Health Care Delivery,
Soupman Inc,5000583390,SOUPQ,Restaurants,
Frontera Group Inc,5002027900,FRTG,Advertising & Marketing,
Triggo SA,5080177710,TGG,Automobiles,
Command Polymers Ltd,5083841140,COMMAND,Industrial Machinery & Goods,
Grow Solutions Holdings Inc,4295956080,GRSO,Multiline and Specialty Retailers & Distributors,
Cargosol Logistics Ltd,5083345090,CARGOSOL,Air Freight & Logistics,
Blackstone Resources AG,5060566440,BLS,Metals & Mining,
Primo Service Solutions PCL,5082935090,PRI,Real Estate,
Tripleize Co Ltd,5063184540,5026,Software & IT Services,
Frontier Diamonds Ltd,5059014740,FDX,Metals & Mining,
Japan Warranty Support Co Ltd,5056406880,7386,Professional & Commercial Services,
SF Real Estate Investment Trust,5079892510,2191,Real Estate,
Analizy Online SA,5001181480,AOL,Professional & Commercial Services,
Japan Data Science Consortium Co Ltd,5071082940,4418,Software & IT Services,
Mecon SA,4297825990,MECP,Industrial Machinery & Goods,
Cyxtera Technologies Inc,5076376830,CYXT,Software & IT Services,
Cellectar Biosciences Inc,4295899690,CLRB,Biotechnology & Pharmaceuticals,
Sunwels Co Ltd,5046290680,9229,Health Care Delivery,
Medinah Minerals Inc,4296484120,MDMN,Metals & Mining,
Phoenix Motor Inc,5081490920,PEV,Automobiles,
GUPPY's Inc,5083379170,5127,Professional & Commercial Services,
Pattech Fitwell Tube Components Ltd,5083796070,PATTECH,Building Products & Furnishings,
NaturalShrimp Inc,5000317290,SHMP,Meat, Poultry & Dairy,
Socar Inc,5044029140,403550,Multiline and Specialty Retailers & Distributors,
St Augustine Gold and Copper Ltd,5001157050,SAU,Metals & Mining,
Helios Energy Ltd,5001181790,HE8,Coal Operations,
Tulsi Extrusions Ltd,4295873740,TULS,Construction Materials,
Anthera Pharmaceuticals Inc,4296257950,ANTH,Biotechnology & Pharmaceuticals,
Intertain Group Ltd,5035576590,ITX,Casinos & Gaming,
Norbel Baby Co Ltd,5081467960,6844,Drug Retailers,
Lindbergh SpA,5059058270,LDB,Waste Management,
Pochiraju Industries Ltd,4295874070,PJUI,Agricultural Products,
Banca Popolare Dell'Alto Adige SpA,5000046520,BCAPAA,Commercial Banks,
Gold Standard Ventures Corp,4297233240,GSV,Metals & Mining,
Orion Metals Ltd,4295858190,ORM,Metals & Mining,
4DS Memory Ltd,5001143720,4DS,Semiconductors,
Mega Genomics Ltd,5081174460,6667,Health Care Delivery,
Commex Technology Ltd,4295873060,CTL,Software & IT Services,
Paragon 28 Inc,5037061390,FNA,Medical Equipment & Supplies,
Ecloudvalley Digital Technology Co Ltd,5064643060,6689,Software & IT Services,
Bernard Loiseau SA,4295868090,ALDBL,Restaurants,
Royalty North Partners Ltd,5035158070,RNP,Asset Management & Custody Activities,
VGI Partners Global Investments Ltd,5057778420,VG1N,Asset Management & Custody Activities,
Sports Gear Co Ltd,5080045600,6768,Apparel, Accessories & Footwear,
Enovix Corp,5078560160,ENVX,Electrical & Electronic Equipment,
Suntech SA,4298068620,SUN,Software & IT Services,
Discovery Africa Ltd,5035456560,DAF,Coal Operations,
Avner Oil Exploration LP,4295875080,AVLN,Oil & Gas - Exploration & Production,
Ohmyhome Ltd,5083668850,OMH,Software & IT Services,
KMM AD,4296399380,4KP,Electrical & Electronic Equipment,
Stenocare A/S,5064638640,STENO,Biotechnology & Pharmaceuticals,
Agrobacka ad Backa Topola,5000060990,AGBC,Agricultural Products,
DionyMed Brands Inc,5068312040,DYME,Multiline and Specialty Retailers & Distributors,
Surfstitch Group Ltd,5044168190,SRF,E-Commerce,
CBA Asset Management AD,4297947910,C81,Food Retailers & Distributors,
China New Economy Fund Ltd,5001422790,80,Asset Management & Custody Activities,
Flamura SA,4297711540,FLAU,Apparel, Accessories & Footwear,
Primewest Group Ltd,5063341950,PWG,Asset Management & Custody Activities,
BBMG Corp,4298544912,2009,Construction Materials,
Dong Ah Tire & Rubber Co Ltd,5059085816,282690,Auto Parts,
Duta Pertiwi Tbk PT,4295874536,DUTI,Real Estate,
TPI Composites Inc,4297996302,TPIC,Wind Technology & Project Developers,
Jiangsu United Water Technology Co Ltd,5081086236,603291,Water Utilities & Services,
Akcept Finance SA,4297880466,AFC,Consumer Finance,
Tech Pro Technology Development Ltd,4295871996,3823,Electrical & Electronic Equipment,
Advanced Oncotherapy PLC,4295894266,AVO,Medical Equipment & Supplies,
AeroGrow International Inc,4295911086,AERO,Appliance Manufacturing,
Shenzhen Best of Best Holdings Co Ltd,5081057326,001298,Multiline and Specialty Retailers & Distributors,
Sarcos Technology and Robotics Corp,5079233926,STRC,Industrial Machinery & Goods,
Evropa AD Skopje,5001105106,EVRO,Processed Foods,
AtriCure Inc,4295899543,ATRC,Medical Equipment & Supplies,
7digital Group plc,4295895556,7DIG,Media & Entertainment,
San Neng Group Holdings Co Ltd,5066618296,6671,Household & Personal Products,
Tat Seng Packaging Group Ltd,4295887626,TSP,Containers & Packaging,
Chainqui Construction Development Co Ltd,4295891386,2509,Real Estate,
Jiangsu Jiangyin Rural Commercial Bank Co Ltd,4298153006,002807,Commercial Banks,
Wison Engineering Services Co Ltd,5037988016,2236,Engineering & Construction Services,
Abbott India Ltd,4295873246,BOOT,Biotechnology & Pharmaceuticals,
