Company Name,Industry,perm_id
Alx Resources Corp,Metals & Mining,4297820283
Rey Resources Ltd,Metals & Mining,4295858410
Norwest Minerals Ltd,Metals & Mining,5065980114
Purepoint Uranium Group Inc,Metals & Mining,4297271825
F3 Uranium Corp,Metals & Mining,5040759715
Strikepoint Gold Inc,Metals & Mining,4296066019
Aston Bay Holdings Ltd,Metals & Mining,5035093300
Kootenay Silver Inc,Metals & Mining,4296413333
PJX Resources Inc,Metals & Mining,5035166197
P2 Gold Inc,Metals & Mining,5062724055
Kaizen Discovery Inc,Metals & Mining,4296415929
Ace Innovate Asia Bhd,Engineering & Construction Services,5070763142
Euro Sun Mining Inc,Metals & Mining,5080169166
Critical Elements Lithium Corp,Metals & Mining,4297707590
Aeon Metals Ltd,Metals & Mining,4295858855
Rusoro Mining Ltd,Metals & Mining,4295862900
Mirasol Resources Ltd,Metals & Mining,4297264599
Goviex Uranium Inc,Coal Operations,5000741433
Exact Therapeutics AS,Biotechnology & Pharmaceuticals,5043372331
Portage Biotech Inc,Biotechnology & Pharmaceuticals,5040245430
Zonia Holdings Corp,Industrial Machinery & Goods,4295860899
Tuju Setia Bhd,Engineering & Construction Services,5076931733
Graphite One Inc,Metals & Mining,4297770929
Prima Globalindo Logistik PT Tbk,"Apparel, Accessories & Footwear",5068313348
Northern Superior Resources Inc,Metals & Mining,4295921594
Nova Minerals Ltd,Metals & Mining,4295856956
Mayur Resources Ltd,Metals & Mining,5056980584
LMG Corp.,Industrial Machinery & Goods,4295886263
Tinka Resources Ltd,Professional & Commercial Services,4296438984
Iperionx Ltd,Metals & Mining,5057832411
Cobre Ltd,Metals & Mining,5071080332
Falco Resources Ltd,Metals & Mining,5064666115
Reunion Gold Corp,Metals & Mining,4295860926
Arianne Phosphate Inc,Metals & Mining,4296098450
A-Spine Asia Co Ltd,Medical Equipment & Supplies,5052123689
Bowen Coking Coal Ltd,Coal Operations,4295857607
Speed Medical SAE,Medical Equipment & Supplies,5068342029
MEM Dental Technology Co Ltd,Medical Equipment & Supplies,5079141268
